חותמת זמן,מה הגיל שלך?,מה המגדר שלך ?,האם אתם מבלים את זמנכם ברשתות חברתיות ?,באיזה רשת חברתית את מבלים את עיקר זמנכם ? ,האם נחשפת לפרסומות ו/או קישורים ן/או סרטונים של ידוענים הקשורים לקנייה אונליין ברשתות החברתיות ?,"במידה וכן, באיזו תדירות אתה נכנס אליהם ?","במידה וכן, באיזו תדירות אתם מבצעים קנייה הנובעת מן הקישור/פרסומת ?","בערך, עבור כל קנייה כזאת מה הסכום שיוצא על המוצר ?","אם באפשרותך להעביר הלאה את הקישור/הפרסומת בכדי שגם אחרים יוכלו לקנות, היית עושה זאת ?"
5/9/2022 15:11:30,16,נקבה,"כן, לעיתים קרובות","וואטסאפ, טיקטוק",כן,לא נכנס אף פעם,אף פעם לא,0,לא
5/9/2022 15:12:35,16,זכר,"כן, מדי פעם","וואטסאפ, אינסטגרם",כן,לא נכנס אף פעם,אף פעם לא,0,לא
5/9/2022 15:13:57,16,זכר,"כן, תמיד","וואטסאפ, אינסטגרם, דיסקורד",כן,לא נכנס אף פעם,אף פעם לא,0,כן
5/9/2022 15:15:37,16,נקבה,"כן, לעיתים קרובות","וואטסאפ, פייסבוק, אינסטגרם, טוויטר, טלגרם",כן,לא נכנס אף פעם,אף פעם לא,50,לא
5/9/2022 15:18:30,16,זכר,"כן, אבל לעיתים רחוקות",אינסטגרם,כן,לא נכנס אף פעם,אף פעם לא,0,לא
5/9/2022 16:10:47,16,זכר,"כן, לעיתים קרובות","וואטסאפ, אינסטגרם",כן,לא נכנס אף פעם,אף פעם לא,0,כן
5/9/2022 15:10:36,18,נקבה,"כן, תמיד",אינסטגרם,כן,לא נכנס אף פעם,אף פעם לא,0,כן
5/9/2022 15:11:11,18,זכר,"כן, תמיד","וואטסאפ, אינסטגרם, טוויטר",כן,לא נכנס אף פעם,אף פעם לא,100,לא
5/9/2022 15:41:55,18,זכר,"כן, מדי פעם","וואטסאפ, 9gag",כן,לא נכנס אף פעם,אף פעם לא,0,כן
5/9/2022 15:54:30,18,זכר,"כן, לעיתים קרובות","וואטסאפ, אינסטגרם, טוויטר, טיקטוק",כן,לא נכנס אף פעם,אף פעם לא,0,לא
5/9/2022 15:37:53,19,נקבה,"כן, לעיתים קרובות","וואטסאפ, אינסטגרם, טיק טוק",כן,לא נכנס אף פעם,אף פעם לא,50,כן
5/9/2022 17:00:16,19,זכר,"כן, תמיד",וואטסאפ,לא,לא נכנס אף פעם,אף פעם לא,0,לא
5/9/2022 17:14:43,19,זכר,"כן, לעיתים קרובות","וואטסאפ, אינסטגרם",כן,לא נכנס אף פעם,אף פעם לא,0,כן
5/9/2022 18:23:09,19,זכר,"כן, אבל לעיתים רחוקות",אינסטגרם,לא,לא נכנס אף פעם,אף פעם לא,50,לא
5/9/2022 21:10:34,19,זכר,"כן, מדי פעם",אינסטגרם,לא,לא נכנס אף פעם,אף פעם לא,0,לא
5/9/2022 21:43:28,19,זכר,"כן, מדי פעם",אינסטגרם,כן,לא נכנס אף פעם,אף פעם לא,50,לא
5/9/2022 23:04:49,19,זכר,"כן, מדי פעם",וואטסאפ,לא,לא נכנס אף פעם,אף פעם לא,0,לא
5/9/2022 17:05:13,20,זכר,"כן, תמיד","וואטסאפ, פייסבוק, אינסטגרם",כן,לא נכנס אף פעם,אף פעם לא,0,לא
5/9/2022 17:18:24,21,זכר,"כן, לעיתים קרובות","וואטסאפ, פייסבוק",לא,לא נכנס אף פעם,אף פעם לא,0,לא
5/9/2022 15:34:25,22,זכר,"כן, לעיתים קרובות","וואטסאפ, פייסבוק",לא,לא נכנס אף פעם,אף פעם לא,25,לא
5/11/2022 19:20:18,22,זכר,"כן, תמיד","וואטסאפ, פייסבוק, טיקטוק",כן,לא נכנס אף פעם,אף פעם לא,0,לא
5/9/2022 19:31:54,23,זכר,"כן, תמיד",פייסבוק,כן,לא נכנס אף פעם,אף פעם לא,0,כן
5/9/2022 15:13:47,24,זכר,"כן, לעיתים קרובות","וואטסאפ, אינסטגרם",כן,לא נכנס אף פעם,אף פעם לא,0,לא
5/9/2022 15:14:06,24,זכר,"כן, מדי פעם","וואטסאפ, טלגרם",כן,לא נכנס אף פעם,אף פעם לא,0,לא
5/9/2022 16:06:14,24,זכר,לא משתמש בשום רשת חברתית,וואטסאפ,לא,לא נכנס אף פעם,אף פעם לא,0,לא
5/9/2022 18:28:26,25,זכר,"כן, תמיד",אינסטגרם,כן,לא נכנס אף פעם,אף פעם לא,50,לא
5/9/2022 16:09:21,26,זכר,"כן, לעיתים קרובות",פייסבוק,לא,לא נכנס אף פעם,אף פעם לא,20,לא
5/9/2022 15:47:13,27,זכר,"כן, לעיתים קרובות",פייסבוק,כן,לא נכנס אף פעם,אף פעם לא,0,לא
5/9/2022 15:23:46,28,זכר,"כן, מדי פעם","וואטסאפ, לינקדין",כן,לא נכנס אף פעם,אף פעם לא,0,כן
5/9/2022 15:46:38,32,זכר,"כן, מדי פעם","וואטסאפ, פייסבוק, טלגרם",כן,לא נכנס אף פעם,אף פעם לא,0,לא
5/9/2022 16:48:39,45,זכר,"כן, לעיתים קרובות",אינסטגרם,לא,לא נכנס אף פעם,אף פעם לא,50,לא
5/9/2022 16:06:03,17,זכר,"כן, לעיתים קרובות",וואטסאפ,כן,לעיתים קרובות,אף פעם לא,100,כן
5/9/2022 15:09:52,18,זכר,"כן, לעיתים קרובות","וואטסאפ, אינסטגרם, טיקטוק",כן,לעיתים קרובות,אף פעם לא,100,לא
5/9/2022 15:25:05,19,זכר,"כן, לעיתים קרובות",אינסטגרם,כן,לעיתים קרובות,אף פעם לא,0,לא
5/9/2022 15:43:00,19,נקבה,"כן, לעיתים קרובות","וואטסאפ, אינסטגרם",כן,לעיתים קרובות,אף פעם לא,150,לא
5/9/2022 23:14:47,19,זכר,"כן, לעיתים קרובות","וואטסאפ, אינסטגרם",כן,לעיתים קרובות,אף פעם לא,0,לא
5/9/2022 16:55:16,25,זכר,"כן, לעיתים קרובות","וואטסאפ, פייסבוק, אינסטגרם, טוויטר, טלגרם",לא,לעיתים קרובות,אף פעם לא,0,לא
5/9/2022 15:19:48,69,נקבה,"כן, מדי פעם",וואטסאפ,כן,לעיתים קרובות,אף פעם לא,0,לא
5/9/2022 16:02:14,15,זכר,"כן, תמיד","וואטסאפ, אינסטגרם",כן,לעיתים רחוקות,אף פעם לא,0,לא
5/9/2022 16:38:00,16,זכר,"כן, מדי פעם",אינסטגרם,לא,לעיתים רחוקות,אף פעם לא,0,לא
5/9/2022 19:39:14,17,זכר,"כן, לעיתים קרובות","וואטסאפ, אינסטגרם",כן,לעיתים רחוקות,אף פעם לא,0,לא
5/9/2022 23:26:35,17,נקבה,"כן, לעיתים קרובות","וואטסאפ, אינסטגרם",כן,לעיתים רחוקות,אף פעם לא,0,כן
5/9/2022 15:23:30,18,נקבה,"כן, לעיתים קרובות","וואטסאפ, אינסטגרם",כן,לעיתים רחוקות,אף פעם לא,30,כן
5/9/2022 16:09:17,18,נקבה,"כן, מדי פעם","וואטסאפ, אינסטגרם",כן,לעיתים רחוקות,אף פעם לא,0,כן
5/9/2022 17:01:09,18,נקבה,"כן, לעיתים קרובות","וואטסאפ, אינסטגרם",כן,לעיתים רחוקות,אף פעם לא,0,כן
5/9/2022 18:11:33,18,זכר,"כן, מדי פעם",אינסטגרם,כן,לעיתים רחוקות,אף פעם לא,0,לא
5/9/2022 15:42:27,19,זכר,"כן, תמיד",טיקטוק,כן,לעיתים רחוקות,אף פעם לא,0,לא
5/9/2022 17:48:47,19,זכר,"כן, מדי פעם",וואטסאפ,לא,לעיתים רחוקות,אף פעם לא,150,לא
5/9/2022 15:39:18,21,נקבה,"כן, תמיד","וואטסאפ, פייסבוק",כן,לעיתים רחוקות,אף פעם לא,0,כן
5/9/2022 15:16:31,22,נקבה,"כן, לעיתים קרובות","וואטסאפ, אינסטגרם",כן,לעיתים רחוקות,אף פעם לא,150,לא
5/10/2022 18:26:51,22,נקבה,"כן, תמיד",אינסטגרם,כן,לעיתים רחוקות,אף פעם לא,100,כן
5/9/2022 15:09:16,26,זכר,"כן, לעיתים קרובות","וואטסאפ, פייסבוק, אינסטגרם",כן,לעיתים רחוקות,אף פעם לא,0,לא
5/9/2022 15:33:27,26,נקבה,"כן, לעיתים קרובות",וואטסאפ,כן,לעיתים רחוקות,אף פעם לא,0,כן
5/9/2022 16:23:26,26,זכר,"כן, לעיתים קרובות","וואטסאפ, אינסטגרם",כן,לעיתים רחוקות,אף פעם לא,0,לא
5/9/2022 15:11:07,28,זכר,"כן, לעיתים קרובות","וואטסאפ, אינסטגרם",כן,לעיתים רחוקות,אף פעם לא,200,לא
5/9/2022 15:33:39,53,זכר,"כן, מדי פעם","וואטסאפ, פייסבוק",לא,לעיתים רחוקות,אף פעם לא,0,כן
5/9/2022 15:18:39,54,נקבה,"כן, לעיתים קרובות","וואטסאפ, פייסבוק, אינסטגרם, טוויטר",כן,לעיתים רחוקות,אף פעם לא,0,לא
5/9/2022 15:35:06,55,נקבה,"כן, תמיד","פייסבוק, אינסטגרם",כן,לעיתים רחוקות,אף פעם לא,100,כן
5/9/2022 16:04:05,15,זכר,"כן, לעיתים קרובות",אינסטגרם,כן,מדי פעם,אף פעם לא,100,לא
5/9/2022 15:29:51,18,זכר,"כן, לעיתים קרובות","וואטסאפ, אינסטגרם",כן,מדי פעם,אף פעם לא,150,כן
5/9/2022 16:50:17,18,נקבה,"כן, תמיד",אינסטגרם,כן,מדי פעם,אף פעם לא,175,כן
5/9/2022 17:32:41,24,נקבה,"כן, לעיתים קרובות","וואטסאפ, פייסבוק, אינסטגרם, טוויטר",כן,מדי פעם,אף פעם לא,0,כן
5/9/2022 17:38:12,25,נקבה,"כן, לעיתים קרובות",וואטסאפ,כן,מדי פעם,אף פעם לא,400,כן
5/9/2022 21:45:07,49,נקבה,"כן, אבל לעיתים רחוקות","וואטסאפ, פייסבוק",כן,מדי פעם,אף פעם לא,50,לא
5/9/2022 16:01:38,15.5,נקבה,"כן, תמיד","אינסטגרם, טיקטוק",כן,תמיד,אף פעם לא,50,כן
5/9/2022 15:21:30,18,זכר,"כן, תמיד","וואטסאפ, אינסטגרם",כן,תמיד,אף פעם לא,50,לא
5/9/2022 17:37:59,20,נקבה,"כן, תמיד",וואטסאפ,כן,לעיתים קרובות,לעיתים קרובות,40,לא
5/9/2022 15:18:35,23,נקבה,"כן, תמיד","וואטסאפ, פייסבוק, אינסטגרם",כן,לעיתים קרובות,לעיתים קרובות,100,לא
5/9/2022 15:34:57,18,זכר,"כן, לעיתים קרובות",אינסטגרם,לא,לא נכנס אף פעם,לעיתים רחוקות,150,לא
5/9/2022 17:19:27,22,זכר,"כן, לעיתים קרובות","וואטסאפ, אינסטגרם",כן,לעיתים קרובות,לעיתים רחוקות,50,כן
5/9/2022 15:40:34,76,זכר,"כן, מדי פעם",וואטסאפ,כן,לעיתים קרובות,לעיתים רחוקות,450,לא
5/9/2022 15:27:45,14,נקבה,"כן, מדי פעם","וואטסאפ, טיקטוק",כן,לעיתים רחוקות,לעיתים רחוקות,39,לא
5/10/2022 13:32:58,14,זכר,"כן, לעיתים קרובות","וואטסאפ, אינסטגרם",כן,לעיתים רחוקות,לעיתים רחוקות,40,לא
5/9/2022 16:39:56,15,זכר,"כן, מדי פעם",אינסטגרם,כן,לעיתים רחוקות,לעיתים רחוקות,150,כן
5/9/2022 16:27:45,16,זכר,"כן, לעיתים קרובות","וואטסאפ, אינסטגרם",כן,לעיתים רחוקות,לעיתים רחוקות,20,כן
5/9/2022 15:19:18,17,זכר,"כן, לעיתים קרובות",וואטסאפ,כן,לעיתים רחוקות,לעיתים רחוקות,50,לא
5/9/2022 16:01:50,17,זכר,"כן, לעיתים קרובות","וואטסאפ, אינסטגרם, טוויטר, טלגרם",כן,לעיתים רחוקות,לעיתים רחוקות,100,לא
5/9/2022 15:16:31,18,זכר,"כן, תמיד","וואטסאפ, אינסטגרם",כן,לעיתים רחוקות,לעיתים רחוקות,280,לא
5/9/2022 15:36:40,18,זכר,"כן, לעיתים קרובות","וואטסאפ, אינסטגרם, טוויטר, טיקטוק",כן,לעיתים רחוקות,לעיתים רחוקות,300,לא
5/9/2022 17:19:04,18,זכר,"כן, מדי פעם","וואטסאפ, טלגרם",כן,לעיתים רחוקות,לעיתים רחוקות,25,כן
5/9/2022 16:14:39,19,זכר,"כן, לעיתים קרובות","וואטסאפ, אינסטגרם",כן,לעיתים רחוקות,לעיתים רחוקות,200,כן
5/9/2022 16:36:20,19,זכר,"כן, מדי פעם","וואטסאפ, אינסטגרם",כן,לעיתים רחוקות,לעיתים רחוקות,120,לא
5/9/2022 19:10:00,19,זכר,"כן, לעיתים קרובות",פייסבוק,כן,לעיתים רחוקות,לעיתים רחוקות,250,לא
5/9/2022 17:44:16,22,נקבה,"כן, תמיד","וואטסאפ, פייסבוק, אינסטגרם",כן,לעיתים רחוקות,לעיתים רחוקות,150,כן
5/9/2022 17:55:33,23,זכר,"כן, לעיתים קרובות","וואטסאפ, אינסטגרם",כן,לעיתים רחוקות,לעיתים רחוקות,50,לא
5/9/2022 15:20:56,24,זכר,"כן, לעיתים קרובות",אינסטגרם,כן,לעיתים רחוקות,לעיתים רחוקות,50,כן
5/9/2022 15:32:19,24,זכר,"כן, מדי פעם","וואטסאפ, פייסבוק",כן,לעיתים רחוקות,לעיתים רחוקות,50,לא
5/9/2022 15:42:04,25,זכר,"כן, לעיתים קרובות","וואטסאפ, פייסבוק",כן,לעיתים רחוקות,לעיתים רחוקות,100,לא
5/9/2022 15:53:16,25,זכר,"כן, מדי פעם","וואטסאפ, פייסבוק, טלגרם",כן,לעיתים רחוקות,לעיתים רחוקות,10,כן
5/9/2022 16:47:21,38,נקבה,"כן, לעיתים קרובות","וואטסאפ, פייסבוק, אינסטגרם, טוויטר",כן,לעיתים רחוקות,לעיתים רחוקות,50,לא
5/9/2022 16:50:36,51,נקבה,"כן, לעיתים קרובות","פייסבוק, אינסטגרם",כן,לעיתים רחוקות,לעיתים רחוקות,200,לא
5/9/2022 15:09:00,17,נקבה,"כן, תמיד","וואטסאפ, אינסטגרם",כן,מדי פעם,לעיתים רחוקות,50,כן
5/9/2022 15:23:26,17,זכר,"כן, תמיד","וואטסאפ, אינסטגרם",כן,מדי פעם,לעיתים רחוקות,100,כן
5/9/2022 15:21:14,18,נקבה,"כן, תמיד","וואטסאפ, אינסטגרם, טיקטוק",כן,מדי פעם,לעיתים רחוקות,60,לא
5/9/2022 16:05:34,18,זכר,"כן, לעיתים קרובות","וואטסאפ, אינסטגרם",כן,מדי פעם,לעיתים רחוקות,50,כן
5/9/2022 15:53:19,19,נקבה,"כן, לעיתים קרובות","וואטסאפ, אינסטגרם, טיקטוק",כן,מדי פעם,לעיתים רחוקות,100,לא
5/9/2022 16:04:23,19,נקבה,"כן, תמיד","וואטסאפ, אינסטגרם, טיקטוק",כן,מדי פעם,לעיתים רחוקות,250₪,כן
5/9/2022 16:56:16,19,זכר,"כן, לעיתים קרובות","וואטסאפ, פייסבוק, אינסטגרם",כן,מדי פעם,לעיתים רחוקות,200,כן
5/9/2022 21:51:53,19,זכר,"כן, לעיתים קרובות",אינסטגרם,כן,מדי פעם,לעיתים רחוקות,150,לא
5/11/2022 21:19:12,22,נקבה,"כן, לעיתים קרובות","וואטסאפ, פייסבוק, אינסטגרם",כן,מדי פעם,לעיתים רחוקות,100,לא
5/9/2022 15:16:22,24,זכר,"כן, תמיד",אינסטגרם,כן,מדי פעם,לעיתים רחוקות,300,לא
5/9/2022 15:14:29,25,נקבה,"כן, תמיד","וואטסאפ, פייסבוק, אינסטגרם",כן,מדי פעם,לעיתים רחוקות,100,לא
5/9/2022 15:14:38,25,זכר,"כן, לעיתים קרובות","וואטסאפ, פייסבוק",לא,מדי פעם,לעיתים רחוקות,150,לא
5/9/2022 17:36:35,42,נקבה,"כן, תמיד","וואטסאפ, פייסבוק",כן,מדי פעם,לעיתים רחוקות,100,כן
5/9/2022 15:09:02,45,זכר,"כן, תמיד","וואטסאפ, אינסטגרם",כן,מדי פעם,לעיתים רחוקות,150,לא
5/9/2022 15:16:56,45,נקבה,"כן, לעיתים קרובות","וואטסאפ, פייסבוק",כן,מדי פעם,לעיתים רחוקות,100,כן
5/9/2022 15:37:28,18,נקבה,"כן, לעיתים קרובות","וואטסאפ, אינסטגרם",כן,תמיד,לעיתים רחוקות,100,לא
5/9/2022 15:17:49,21,נקבה,"כן, תמיד","וואטסאפ, פייסבוק, אינסטגרם",כן,תמיד,לעיתים רחוקות,130,כן
5/9/2022 17:48:24,27,זכר,"כן, לעיתים קרובות","וואטסאפ, פייסבוק, טוויטר",כן,תמיד,לעיתים רחוקות,100,לא
5/9/2022 15:29:38,25,זכר,"כן, תמיד","וואטסאפ, פייסבוק, אינסטגרם",כן,לא נכנס אף פעם,מדי פעם,30,לא
5/9/2022 15:46:10,18,נקבה,"כן, תמיד",טיקטוק פדיחות,כן,לעיתים רחוקות,מדי פעם,500,כן
5/9/2022 15:32:07,19,נקבה,"כן, תמיד","וואטסאפ, אינסטגרם",כן,לעיתים רחוקות,מדי פעם,50,לא
5/9/2022 15:26:12,16,זכר,"כן, תמיד",תיקתוק,כן,לא נכנס אף פעם,אף פעם לא,0,לא
